k 	 X         	Y      	 dx    	dy   	domain     	well 	  struc  	depth    	phi     	 kx      	 ky     	 Ax     	 Ay     	G    	 P    	WellBCs    	 rw
1	203.077	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
2	634.615	228.462	456.923	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
3	1116.92	228.462	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
4	1624.62	228.462	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
5	2132.31	228.462	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
6	2538.46	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
7	2817.69	228.462	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
8	3223.85	228.462	558.462	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
9	3630	228.462	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
10	3909.23	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
11	4264.62	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
12	4772.31	228.462	609.231	456.923	1	0	1430	4	0.05	0.028175	0.0154962	1827.69	2436.92	1432	0	0	0
13	5330.77	228.462	507.692	456.923	1	0	1430	4	0.05	0.028175	0.0154962	1827.69	2030.77	1432	0	0	0
14	5838.46	228.462	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
15	6270	228.462	355.385	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
16	6752.31	228.462	609.231	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
17	7323.46	228.462	533.077	456.923	1	0	1430	4	0.05	0.028175	0.0154962	1827.69	2132.31	1432	0	0	0
18	7920	228.462	660	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
19	8580	228.462	660	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
20	9062.31	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
21	9392.31	228.462	355.385	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
22	9798.46	228.462	456.923	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
23	10230	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
24	10585.4	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
25	10940.8	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
26	11346.9	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
27	11753.1	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
28	12159.2	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
29	12565.4	228.462	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
30	12920.8	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
31	13200	228.462	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
32	13453.8	228.462	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
33	13834.6	228.462	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
34	14266.2	228.462	355.385	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
35	14596.2	228.462	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
36	203.077	685.385	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
37	634.615	685.385	456.923	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
38	1116.92	685.385	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
39	1624.62	685.385	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
40	2132.31	685.385	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
41	2538.46	685.385	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
42	2817.69	685.385	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
43	3223.85	685.385	558.462	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
44	3630	685.385	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
45	3909.23	685.385	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
